name,phone,email,address,currency,numberrange
Kelly Ross,(722) 985-8805,magna.a@google.edu,Ap #106-5635 Eu Street,$3.80,9
Hedda Mckinney,(371) 943-8873,accumsan.neque@protonmail.net,557-7299 Nunc St.,$16.13,6
Elmo Lang,1-323-932-8658,sociis.natoque.penatibus@yahoo.org,4427 Etiam St.,$67.90,6
Lacy Burris,(279) 151-9763,ante.vivamus@protonmail.couk,7309 Consectetuer Rd.,$84.52,1
Cameron Hood,(821) 392-8298,luctus.sit.amet@protonmail.com,"Ap #290-4078 Non, St.",$97.19,8
Victor Vega,(401) 338-3051,convallis.dolor.quisque@hotmail.com,"864-4397 Tincidunt, Street",$99.06,6
Brett Keith,(261) 823-4113,bibendum.ullamcorper@google.ca,785-1748 Tincidunt Avenue,$35.34,8
Madonna Medina,1-121-840-8601,blandit.at.nisi@yahoo.ca,Ap #991-4556 Viverra. Av.,$84.59,4
Wang Phillips,(806) 730-1614,tincidunt.congue.turpis@icloud.edu,2537 Eros. Street,$64.97,6
Lunea Whitney,1-211-402-6556,pede@outlook.couk,"Ap #860-5803 Vitae, St.",$31.31,9
Katell Brewer,(242) 737-4766,id@aol.ca,6438 Semper. Ave,$22.65,5
Kieran Harmon,1-759-455-1258,nisl.sem@google.net,2128 Risus. Ave,$46.43,8
Paula Harrison,(386) 234-4177,purus.mauris.a@outlook.net,996-7489 Suspendisse Avenue,$77.94,7
Julie Bright,(528) 138-4373,nunc@yahoo.net,"P.O. Box 650, 218 Erat. St.",$22.48,1
Orson Mann,1-981-231-4567,donec.nibh.quisque@aol.edu,"Ap #633-3239 Ut, St.",$48.07,5
Sage Rocha,(873) 528-2787,mus.proin.vel@protonmail.couk,546-3213 Penatibus Rd.,$69.61,3
Jameson Landry,1-703-664-6443,vitae.erat@outlook.net,158-3711 Semper. Street,$43.41,5
Rosalyn Nguyen,(544) 586-0823,nibh@aol.edu,Ap #624-4386 Metus Rd.,$71.80,3
Cooper Mcclain,(333) 384-0888,urna.et.arcu@aol.com,Ap #845-7562 Aenean Rd.,$93.52,7
Beck Lindsay,1-873-457-5913,sit.amet@aol.net,Ap #629-3409 Vel Ave,$59.92,4
Harrison Franco,1-146-574-7647,eu.placerat@yahoo.ca,170-4187 Magna. St.,$46.58,8
Warren Dominguez,1-454-464-8756,ut.semper.pretium@google.edu,"P.O. Box 980, 7825 Fermentum St.",$65.12,4
Cherokee Lopez,(847) 146-4514,maecenas.malesuada.fringilla@aol.org,Ap #836-9047 Dictum Rd.,$62.15,6
Penelope Cortez,1-743-366-0660,suspendisse.eleifend@outlook.couk,Ap #988-9352 Cursus Ave,$31.64,10
Felix Caldwell,(362) 864-7186,dignissim@hotmail.couk,"P.O. Box 455, 945 Vulputate Av.",$83.47,10
Dominic Short,1-421-807-1016,ac.eleifend@google.ca,Ap #205-9674 Natoque Rd.,$96.74,1
Richard Santana,1-650-536-5857,morbi.non@protonmail.net,Ap #884-8480 Erat Street,$70.07,2
Uta Avila,(986) 486-9482,malesuada.vel.convallis@aol.edu,854-6821 Aliquam Av.,$53.26,1
Palmer Mcclain,1-416-384-6472,sit.amet@hotmail.edu,6088 Ultrices. St.,$13.57,7
Cynthia Rosario,(479) 861-2364,nibh.vulputate@outlook.com,7382 Sed Rd.,$9.86,4
Jada Garcia,(585) 748-7428,donec.dignissim@yahoo.org,197-2715 Integer Road,$99.89,7
Pascale Mcdonald,1-831-472-2441,ante@aol.ca,Ap #444-1442 Sed Rd.,$19.59,2
Buckminster Bowman,1-336-717-6787,nunc@yahoo.com,Ap #248-6847 Aliquam Ave,$4.13,2
Judah Mason,(716) 684-8697,mauris.blandit.enim@icloud.couk,616-296 Risus Rd.,$95.95,5
Lacota Marsh,1-478-524-1216,etiam@google.ca,"P.O. Box 456, 2625 Integer Av.",$60.22,2
Brynne Talley,(260) 577-9230,est.ac.mattis@aol.net,809-2859 Lobortis Road,$86.02,5
